date,theater,company,title,genre,author,composer,id
1781-04-19,Bth,Court,Die verfolgte Unbekannte,Singspiel,Petrosellini,Anfossi,
1781-04-19,Kth,French,L'Homme du jour,Comédie,Boissy,,
1781-04-19,Kth,French,Les Legs,Comédie,Marivaux,,
1781-04-20,Bth,unknown,Wissenschaft geht vor Schönheit,Lustspiel,Goldoni,,
1781-04-21,Bth,Court,Die Gefahren der Verführung,Schauspiel,Mercier,,
1781-04-21,Bth,Court,"Adelaide, oder die Antipathie gegen die Liebe",Lustspiel,Du Doyer de Gastels,,
1781-04-22,Bth,Court,Die Gefahren der Verführung,Schauspiel,Mercier,,
1781-04-22,Kth,French,Les Deux Chasseurs et la Laitière,Comédie mêlée d'ariettes,Anseaume,Duni,
1781-04-22,Kth,French,L'Officier et le grand Baillif,Comédie,unknown,,
1781-04-23,Bth,Court,Die große Batterie,Lustspiel,Ayrenhoff,,
1781-04-23,Bth,Court,Andromeda und Perseus,Schauspiel,Kempelen,Zimmermann,
1781-04-24,Bth,Court,Die gegenseitige Probe,Lustspiel,Legrand,,
1781-04-24,Bth,Court,Der Hausfreund,Singspiel,Marmontel,Grétry,
1781-04-24,Kth,French,Les Trois Jumeaux vénetiens,Comédie,Colalto Mattiuzzi,,
1781-04-24,Kth,French,"L'Amant, Auteur et Valet",Comédie,Cérou,,
1781-04-25,Bth,Court,Emilia Galotti,Trauerspiel,Lessing,,
1781-04-25,Kth,French,Les Folies amoureuses,Comédie,Regnard,,
1781-04-25,Kth,French,"L'Homme noir, ou le Spleen",Comédie,Gernevalde,,
1781-04-26,Bth,Court,"Jenny, oder die Uneigennützigkeit",Drame,Marsollier,,
1781-04-26,Bth,Court,"Adrast und Isidore, oder die Nachtmusik",Singspiel,Bretzner,Miča,
1781-04-27,Bth,unknown,Die verstorbene Ehefrau,Lustspiel,Bretzner,,
1781-04-27,Kth,,"Concert, Johann Lausch",,,,
1781-04-28,Kth,Court,Die Schwäger,Trauerspiel,Eckardt,,
1781-04-28,Bth,Court,"Adelaide, oder die Antipathie gegen die Liebe",Lustspiel,Du Doyer de Gastels,,
1781-04-28,Kth,French,Le Tableau parlant,Opéra comique,Anseaume,Grétry,
1781-04-28,Kth,French,Les Précieuses ridicules,Comédie,Molière,Monsigny,
1781-04-28,Kth,French,Pygmalion,Melodrama,Rousseau,Coignet,
1781-04-29,Bth,Court,Die Schwäger,Trauerspiel,Eckardt,,
1781-04-29,Bth,Court,Der dankbare Sohn,Lustspiel,Engel,,
1781-04-29,Kth,French,Monsieur de St. Charles,Comédie,Gernevalde,,
1781-04-29,Kth,French,La Servante maitresse,Opéra comique,Favart,unknown,
1781-04-30,Bth,Court,Der Rauchfangkehrer,Singspiel,Auenbrugger,Salieri,
1781-05-01,Bth,Court,Der sehende Blinde,Lustspiel,Legrand,,
1781-05-01,Bth,Court,Andromeda und Perseus,Schauspiel,Kempelen,Zimmermann,
1781-05-01,Kth,French,La Servante maitresse,Opéra comique,Favart,unknown,
1781-05-01,Kth,French,Monsieur de St. Charles,Comédie,Gernevalde,,
1781-05-02,Bth,Court,Der flatterhafte Ehemann,Lustspiel,Cibber,,
1781-05-02,Kth,,"Concert, Brigida Banti",,,,
1781-05-03,Bth,Court,Die abgenöthige Einwilligung,Lustspiel,Guyot de Merville,,
1781-05-03,Bth,Court,Der eifersüchtige Liebhaber,Singspiel,Hales,Grétry,
1781-05-03,Kth,French,L'École des femmes,Comédie,Molière,,
1781-05-03,Kth,French,Les Deux Chasseurs et la Laitière,Comédie mêlée d'ariettes,Anseaume,Duni,
1781-05-04,Bth,unknown,Die verstorbene Ehefrau,Lustspiel,Bretzner,,
1781-05-05,Bth,Court,Die Schwäger,Trauerspiel,Eckardt,,
1781-05-05,Bth,Court,Wer wird sie kriegen,Lustspiel,Eckardt,,
1781-05-05,Kth,French,Rose et Colas,Opéra comique,Sedaine,Monsigny,
1781-05-05,Kth,French,Democrite amoureux,Comédie,Regnard,,
1781-05-06,Bth,Court,Der Neugierige,Lustspiel,Stephanie d. J.,,
1781-05-06,Kth,French,Elle a raison,Comédie,unknown,,
1781-05-06,Kth,French,Monsieur de St. Charles,Comédie,Gernevalde,,
1781-05-07,Bth,Court,Der Schubkarren des Essighändlers,Lustspiel,Mercier,,
1781-05-07,Bth,Court,Ariadne auf Naxos,Duodrama,Brandes,Benda,
1781-05-08,Bth,Court,Der Rauchfangkehrer,Singspiel,Auenbrugger,Salieri,
1781-05-08,Kth,French,Le Père de famille,Comédie,Diderot,,
1781-05-09,Bth,Court,Wahrheit ist gut Ding,Lustspiel,Goldoni,,
1781-05-09,Kth,,"Concert, Brigida Banti",,,,
1781-05-10,Bth,Court,Der Rauchfangkehrer,Singspiel,Auenbrugger,Salieri,
1781-05-10,Kth,French,Le Sorcier,Opéra comique,Poinsinet,Philidor,
1781-05-10,Kth,French,Dupuis et Desronais,Comédie,Collé,,
1781-05-11,Bth,unknown,Der Zaubergürtel,Lustspiel,Rousseau,,
1781-05-11,Bth,unknown,Ariadne auf Naxos,Duodrama,Brandes,Benda,
1781-05-12,Bth,Court,"Geschwind, eh es jemand erfährt",Lustspiel,Goldoni,,
1781-05-12,Bth,Court,Andromeda und Perseus,Schauspiel,Kempelen,Zimmermann,
1781-05-12,Kth,French,Le Maréchal ferrant,Opéra comique,Quétant,Philidor,
1781-05-12,Kth,French,Elle a raison,Comédie,unknown,,
1781-05-13,Bth,Court,Der Rauchfangkehrer,Singspiel,Auenbrugger,Salieri,
1781-05-13,Kth,French,L'Officieux,Comédie,Piédefer,,
1781-05-13,Kth,French,Nanette et Lucas,Opéra comique,Framery,d'Herbain,
1781-05-14,Bth,Court,Das Loch in der Thüre,Lustspiel,Stephanie d. J.,,
1781-05-14,Kth,French,Monsieur de St. Charles,Comédie,Gernevalde,,
1781-05-14,Kth,French,Silvain,Opéra comique,Marmontel,Grétry,
1781-05-15,Bth,Court,Der Oberamtmann und die Soldaten,Schauspiel,d'Herbois,,
1781-05-16,Bth,Court,Die Pilgrime von Mekka,Singspiel,Dancourt,Gluck,
1781-05-16,Kth,French,Turcaret,Comédie,Lesage,,
1781-05-16,Kth,French,Le Sorcier,Opéra comique,Poinsinet,Philidor,
1781-05-17,Bth,Court,Die Gefahren der Verführung,Schauspiel,Mercier,,
1781-05-17,Bth,Court,Wer wird sie kriegen,Lustspiel,Eckardt,,
1781-05-17,Kth,French,Le Cercle ou la Soirée à la mode,Comédie,Poinsinet,,
1781-05-17,Kth,French,Les Trois Frères rivaux,Comédie,La Font,,
1781-05-17,Kth,French,Les Deux Avares,Opéra comique,Falbaire de Quingey,Grétry,
1781-05-18,Bth,unknown,Die Brüder,Lustspiel,Romanus,,
1781-05-18,Kth,,"Concert, Monsieur Cervasi",,,,
1781-05-19,Bth,Court,Hamlet,Trauerspiel,Shakespeare,,
1781-05-20,Bth,Court,Der Bettelstudent,Lustspiel,Weidmann,,
1781-05-20,Bth,Court,Nacht und Ungefähr,Lustspiel,Capacelli,,
1781-05-20,Kth,French,Les Pêcheurs,Opéra comique,La Salle,Gossec,
1781-05-20,Kth,French,Les Fourberies de Scapin,Comédie,Molière,,
1781-05-21,Bth,Court,Henriette,Lustspiel,Großmann,,
1781-05-22,Bth,Court,"Jenny, oder die Uneigennützigkeit",Drame,Marsollier,,
1781-05-22,Bth,Court,Die eingebildeten Philosophen,Singspiel,Bertati,Paisiello,
1781-05-22,Kth,French,L'Avocat Patelin,Comédie,Brueys,,
1781-05-22,Kth,French,Nanette et Lucas,Opéra comique,Framery,d'Herbain,
1781-05-23,Bth,Court,Athelstan,Trauerspiel,Brown,,
1781-05-24,Kth,French,Le Tartuffe,Comédie,Molière,,
1781-05-24,Kth,French,Le Tableau parlant,Opéra comique,Anseaume,Grétry,
1781-05-24,Bth,Court,Das Portrait,Lustspiel,Beauchamps,,
1781-05-24,Bth,Court,Die eingebildeten Philosophen,Singspiel,Bertati,Paisiello,
1781-05-25,,,Theaters closed,,,,
1781-05-26,Bth,Court,Der argwöhnische Ehemann,Lustspiel,Gotter,,
1781-05-26,Kth,French,Le Legataire universel,Comédie,Regnard,,
1781-05-26,Kth,French,Le Milicien,Comédie,Anseaume,Duni,
1781-05-27,Bth,Court,Der argwöhnische Ehemann,Lustspiel,Gotter,,
1781-05-27,Kth,French,Le Tartuffe,Comédie,Molière,,
1781-05-27,Kth,French,Rose et Colas,Opéra comique,Sedaine,Monsigny,
1781-05-28,Bth,Court,Die Widersprecherin,Lustspiel,Dufresny,,
1781-05-28,Bth,Court,Die eingebildeten Philosophen,Singspiel,Bertati,Paisiello,
1781-05-29,Bth,Court,Der Schmuck,Lustspiel,Sprickmann,,
1781-05-29,Kth,French,La Servante maitresse,Opéra comique,Favart,unknown,
1781-05-29,Kth,French,Monsieur de St. Charles,Comédie,Gernevalde,,
1781-05-30,Bth,Court,Die Trauer,Lustspiel,Hauteroche,,
1781-05-30,Bth,Court,"Adrast und Isidore, oder die Nachtmusik",Singspiel,Bretzner,Miča,
1781-05-31,Bth,Court,Romeo und Julie,Trauerspiel,Shakespeare,,
1781-05-31,Kth,French,Le Tartuffe,Comédie,Molière,,
1781-05-31,Kth,French,La Servante maitresse,Opéra comique,Favart,unknown,
1781-06-01,Bth,unknown,"Hanns bleibt Hanns, oder der Bauer, ein Fürst",Lustspiel,Schink,,
1781-06-01,Bth,unknown,Die Geschwisterliebe,Schauspiel,Weiße,,
1781-06-02,Bth,Court,Der Herr Gevatter,Lustspiel,Prévost,,
1781-06-02,Bth,Court,Die eingebildeten Philosophen,Singspiel,Bertati,Paisiello,
1781-06-02,Kth,French,Le Legataire universel,Comédie,Regnard,,
1781-06-02,Kth,French,Le Huron,Opéra comique,Marmontel,Grétry,
1781-06-03,,,Theaters closed for Pentecost (Pfingsten),,,,
1781-06-04,Bth,Court,Der Rauchfangkehrer,Singspiel,Auenbrugger,Salieri,
1781-06-04,Kth,French,Le Huron,Opéra comique,Marmontel,Grétry,
1781-06-04,Kth,French,Le Page étourdi,Comédie,unknown,,
1781-06-05,Bth,Court,"Eugenie, oder Die Tugend in Gefahr",Trauerspiel,Beaumarchais,,
1781-06-05,Bth,Court,Die Rechnung ohne den Wirth,Lustspiel,Schletter,,
1781-06-06,Bth,Court,Die Liebe unter den Handwerksleuten,Singspiel,Goldoni,Gassmann,
1781-06-07,Bth,Court,Die Nebenbuhler,Lustspiel,Sheridan,,
1781-06-07,Kth,French,Zémire et Azor,Opéra comique,Marmontel,Grétry,
1781-06-08,,,Theaters closed,,,,
1781-06-09,Bth,Court,Richard der Dritte,Trauerspiel,Weiße,,
1781-06-09,Kth,French,Jeannot et Colin,Comédie,Voltaire,,
1781-06-09,Kth,French,La Servante maitresse,Opéra comique,Favart,unknown,
1781-06-10,Bth,Court,Die Wölfe in der Heerde,Lustspiel,Stephanie d. J.,,
1781-06-10,Kth,French,Zémire et Azor,Opéra comique,Marmontel,Grétry,
1781-06-11,Bth,Court,Die Wirthschaftlerinn,Lustspiel,Stephanie d. J.,,
1781-06-11,Bth,Court,Die abgeredte Zauberey,Singspiel,Marmontel,Grétry,
1781-06-11,Kth,unknown,"Concert, Floravante Agostinelli",,,,
1781-06-12,Bth,Court,Edwin und Emma,Schauspiel,Schraembl,,
1781-06-12,Kth,French,Le Sorcier,Opéra comique,Poinsinet,Philidor,
1781-06-12,Kth,French,Le Mari retrouvé,Comédie,Dancourt,,
1781-06-13,Bth,Court,Die verfolgte Unbekannte,Singspiel,Petrosellini,Anfossi,
1781-06-14,,,Theaters closed (Corpus Christi),,,,
1781-06-15,,,Theaters closed,,,,
1781-06-16,Bth,Court,Die heimliche Heyrath,Lustspiel,Colman,,
1781-06-16,Kth,French,"Adelaide, oder die Antipathie gegen die Liebe",Opéra comique,Marmontel,Grétry,
1781-06-17,Bth,Court,Die heimliche Heyrath,Lustspiel,Colman,,
1781-06-17,Kth,French,La Fausse Magie,Comédie mêlée d'ariettes,Marmontel,Grétry,
1781-06-17,Kth,French,La Fausse Suivante,Comédie,Marivaux,,
1781-06-18,Bth,Court,Die verfolgte Unbekannte,Singspiel,Petrosellini,Anfossi,
1781-06-19,Bth,Court,König Lear,Trauerspiel,Shakespeare,,
1781-06-19,Kth,French,L'Ami de la maison,Comédie mêlée d'ariettes,Marmontel,Grétry,
1781-06-19,Kth,French,Les Trois Frères rivaux,Comédie,La Font,,
1781-06-20,Bth,Court,Der Rauchfangkehrer,Singspiel,Auenbrugger,Salieri,
1781-06-20,Kth,French,La Servante maitresse,Opéra comique,Favart,unknown,
1781-06-20,Kth,French,L'Ami de la maison,Comédie mêlée d'ariettes,Marmontel,Grétry,
1781-06-21,Bth,Court,Der argwöhnische Ehemann,Lustspiel,Gotter,,
1781-06-21,Kth,French,Tom Jones,Opéra comique,Poinsinet,Philidor,
1781-06-22,,,Theaters closed,,,,
1781-06-23,Bth,Court,Das Findelkind,Lustspiel,Brühl,,
1781-06-23,Bth,Court,Yariko,Trauerspiel,Pelzel,,
1781-06-23,Kth,French,La Fausse Magie,Comédie mêlée d'ariettes,Marmontel,Grétry,
1781-06-23,Kth,French,La Pupille,Comédie,Fagan,,
1781-06-24,Bth,Court,Das Findelkind,Lustspiel,Brühl,,
1781-06-24,Bth,Court,Der Wittwer,Lustspiel,Carmontelle,,
1781-06-24,Kth,French,Le Déserteur,Drame mêlée de musique,Sedaine,Monsigny,
1781-06-25,Bth,Court,Nacht und Ungefähr,Lustspiel,Capacelli,,
1781-06-25,Bth,Court,Die eingebildeten Philosophen,Singspiel,Bertati,Paisiello,
1781-06-26,Bth,Court,Die heimliche Heyrath,Lustspiel,Colman,,
1781-06-27,Bth,Court,Die verfolgte Unbekannte,Singspiel,Petrosellini,Anfossi,
1781-06-27,Kth,Kinder,Zémire et Azor,Opéra comique,Marmontel,Grétry,
