id,title,sort_title,genre,notes,url
100,Der dankbare Sohn,dankbare sohn,Lustspiel,,
109,Democrite amoureux,democrite amoureux,Comédie,First performed in Paris on 12 Jan 1700.,https://books.google.com/books?id=55IrAyA0TksC&pg=PA1#v=onepage&q&f=false
58,Le Déserteur,deserteur,Drame mêlé de musique,First performed by the Comédiens Italiens in Paris on 6 Mar 1769. The performance by the court theater in Vienna on 1 Aug 1781 was in German as a singspiel.,https://books.google.com/books?id=AxU6AAAAcAAJ&pg=PR1#v=onepage&q&f=false
244,Der Deserteur aus Kindesliebe,deserteur aus kindesliebe,Lustspiel,Earliest performance in Hadamowsky is 31 Jul 1773.,
126,Les Deux Avares,deux avares,Opéra comique,First performed at Fontainebleau on 27 Oct 1770.,https://books.google.com/books?id=AiQ_AAAAcAAJ&pg=PA1#v=onepage&q&f=false
255,Les Deux Billets,deux billets,Comédie,First performed in Paris on 9 Feb 1779.,https://books.google.com/books?id=SphRAAAAcAAJ&pg=PA1#v=onepage&q&f=false
83,Les Deux Chasseurs et la Laitière,deux chasseurs et la laitière,Comédie mêlée d'ariettes,First performed in Paris on 23 Jul 1763. The date on the Viennese libretto at the link is 1764.,https://books.google.com/books?id=TjZMAAAAcAAJ&pg=PA1#v=onepage&q&f=false
167,Der Dichterling,dichterling,Lustspiel,,
176,Der Dienstfertige,dienstfertige,Lustspiel,Author attribution from Hadamowsky. Possibly after L'Officieux (1780)?The German version is attributed to Schletter in the catalogue of the ÖNB. Schletter's calendar attributes it to Wieland. Der Dienstfertige is not listed among Wieland's works on de.wikipedia.https://books.google.com/books?id=dCy9g7qFyTsC&pg=PA1#v=onepage&q&f=false,http://data.onb.ac.at/rep/105B7641
265,Divertissement,divertissement,Ballet,This divertissement is not in Hadamowsky.,
274,Doktor Guldenschnitt,doktor guldenschnitt,Lustspiel,,
71,Don Japhet d'Armenie,don japhet d'armenie,Comédie,First performed in 1651 or 1652; first published in 1653.,https://books.google.com/books?id=uehlAAAAcAAJ&pg=PP5#v=onepage&q&f=false
16,Die donnernde Legion,donnernde legion,Oratorio,,https://books.google.com/books?id=Db5LO98cDs0C&pg=PA1#v=onepage&q&f=false
280,Der Dorfdeputirten,dorfdeputirten,Singspiel,"Apparently not the same as the singspiel by this name by Heermann and Franz Teyber performed in the Kärntnertortheater twice in 1785 and 1786. There was also a setting by Wolf. The libretto is based on Goldoni, Il feudatario. Presumably Sardi set the same libretto.",
259,Der Dorfjahrmarkt in Elsaß,dorfjahrmarkt in elsaß,Ballet,,
62,La Double Frayeur,double frayeur,Comédie,"Apart from Schletter, this title appears only in Schink 1782. Two titles with ""frayeur"" in the title appear on CÉSAR: Les Frayeurs d'Arlequin (no date) and Les Frayeurs de Crispin (1682).",
195,Die dürftige Familie,duerftige familie,Schauspiel,,
