"date","theater","company","title","genre","author","composer","id"
1781-04-19,"Bth","Court","Die verfolgte Unbekannte","Singspiel","Petrosellini","Anfossi",""
1781-04-19,"Kth","French","L'Homme du jour","Comédie","Boissy",NA,""
1781-04-19,"Kth","French","Les Legs","Comédie","Marivaux",NA,""
1781-04-20,"Bth","unknown","Wissenschaft geht vor Schönheit","Lustspiel","Goldoni",NA,""
1781-04-21,"Bth","Court","Die Gefahren der Verführung","Schauspiel","Mercier",NA,""
1781-04-21,"Bth","Court","Adelaide, oder die Antipathie gegen die Liebe","Lustspiel","Du Doyer de Gastels",NA,""
1781-04-22,"Bth","Court","Die Gefahren der Verführung","Schauspiel","Mercier",NA,""
1781-04-22,"Kth","French","Les Deux Chasseurs et la Laitière","Comédie mêlée d'ariettes","Anseaume","Duni",""
1781-04-22,"Kth","French","L'Officier et le grand Baillif","Comédie","unknown",NA,""
1781-04-23,"Bth","Court","Die große Batterie","Lustspiel","Ayrenhoff",NA,""
1781-04-23,"Bth","Court","Andromeda und Perseus","Schauspiel","Kempelen","Zimmermann",""
1781-04-24,"Bth","Court","Die gegenseitige Probe","Lustspiel","Legrand",NA,""
1781-04-24,"Bth","Court","Der Hausfreund","Singspiel","Marmontel","Grétry",""
1781-04-24,"Kth","French","Les Trois Jumeaux vénetiens","Comédie","Colalto Mattiuzzi",NA,""
1781-04-24,"Kth","French","L'Amant, Auteur et Valet","Comédie","Cérou",NA,""
1781-04-25,"Bth","Court","Emilia Galotti","Trauerspiel","Lessing",NA,""
1781-04-25,"Kth","French","Les Folies amoureuses","Comédie","Regnard",NA,""
1781-04-25,"Kth","French","L'Homme noir, ou le Spleen","Comédie","Gernevalde",NA,""
1781-04-26,"Bth","Court","Jenny, oder die Uneigennützigkeit","Drame","Marsollier",NA,""
1781-04-26,"Bth","Court","Adrast und Isidore, oder die Nachtmusik","Singspiel","Bretzner","Miča",""
1781-04-27,"Bth","unknown","Die verstorbene Ehefrau","Lustspiel","Bretzner",NA,""
1781-04-27,"Kth",NA,"Concert, Johann Lausch",NA,NA,NA,""
1781-04-28,"Kth","Court","Die Schwäger","Trauerspiel","Eckardt",NA,""
1781-04-28,"Bth","Court","Adelaide, oder die Antipathie gegen die Liebe","Lustspiel","Du Doyer de Gastels",NA,""
1781-04-28,"Kth","French","Le Tableau parlant","Opéra comique","Anseaume","Grétry",""
1781-04-28,"Kth","French","Les Précieuses ridicules","Comédie","Molière","Monsigny",""
1781-04-28,"Kth","French","Pygmalion","Melodrama","Rousseau","Coignet",""
1781-04-29,"Bth","Court","Die Schwäger","Trauerspiel","Eckardt",NA,""
1781-04-29,"Bth","Court","Der dankbare Sohn","Lustspiel","Engel",NA,""
1781-04-29,"Kth","French","Monsieur de St. Charles","Comédie","Gernevalde",NA,""
1781-04-29,"Kth","French","La Servante maitresse","Opéra comique","Favart","unknown",""
1781-04-30,"Bth","Court","Der Rauchfangkehrer","Singspiel","Auenbrugger","Salieri",""
1781-05-01,"Bth","Court","Der sehende Blinde","Lustspiel","Legrand",NA,""
1781-05-01,"Bth","Court","Andromeda und Perseus","Schauspiel","Kempelen","Zimmermann",""
1781-05-01,"Kth","French","La Servante maitresse","Opéra comique","Favart","unknown",""
1781-05-01,"Kth","French","Monsieur de St. Charles","Comédie","Gernevalde",NA,""
1781-05-02,"Bth","Court","Der flatterhafte Ehemann","Lustspiel","Cibber",NA,""
1781-05-02,"Kth",NA,"Concert, Brigida Banti",NA,NA,NA,""
1781-05-03,"Bth","Court","Die abgenöthige Einwilligung","Lustspiel","Guyot de Merville",NA,""
1781-05-03,"Bth","Court","Der eifersüchtige Liebhaber","Singspiel","Hales","Grétry",""
1781-05-03,"Kth","French","L'École des femmes","Comédie","Molière",NA,""
1781-05-03,"Kth","French","Les Deux Chasseurs et la Laitière","Comédie mêlée d'ariettes","Anseaume","Duni",""
1781-05-04,"Bth","unknown","Die verstorbene Ehefrau","Lustspiel","Bretzner",NA,""
1781-05-05,"Bth","Court","Die Schwäger","Trauerspiel","Eckardt",NA,""
1781-05-05,"Bth","Court","Wer wird sie kriegen","Lustspiel","Eckardt",NA,""
1781-05-05,"Kth","French","Rose et Colas","Opéra comique","Sedaine","Monsigny",""
1781-05-05,"Kth","French","Democrite amoureux","Comédie","Regnard",NA,""
1781-05-06,"Bth","Court","Der Neugierige","Lustspiel","Stephanie d. J.",NA,""
1781-05-06,"Kth","French","Elle a raison","Comédie","unknown",NA,""
1781-05-06,"Kth","French","Monsieur de St. Charles","Comédie","Gernevalde",NA,""
1781-05-07,"Bth","Court","Der Schubkarren des Essighändlers","Lustspiel","Mercier",NA,""
1781-05-07,"Bth","Court","Ariadne auf Naxos","Duodrama","Brandes","Benda",""
1781-05-08,"Bth","Court","Der Rauchfangkehrer","Singspiel","Auenbrugger","Salieri",""
1781-05-08,"Kth","French","Le Père de famille","Comédie","Diderot",NA,""
1781-05-09,"Bth","Court","Wahrheit ist gut Ding","Lustspiel","Goldoni",NA,""
1781-05-09,"Kth",NA,"Concert, Brigida Banti",NA,NA,NA,""
1781-05-10,"Bth","Court","Der Rauchfangkehrer","Singspiel","Auenbrugger","Salieri",""
1781-05-10,"Kth","French","Le Sorcier","Opéra comique","Poinsinet","Philidor",""
1781-05-10,"Kth","French","Dupuis et Desronais","Comédie","Collé",NA,""
1781-05-11,"Bth","unknown","Der Zaubergürtel","Lustspiel","Rousseau",NA,""
1781-05-11,"Bth","unknown","Ariadne auf Naxos","Duodrama","Brandes","Benda",""
1781-05-12,"Bth","Court","Geschwind, eh es jemand erfährt","Lustspiel","Goldoni",NA,""
1781-05-12,"Bth","Court","Andromeda und Perseus","Schauspiel","Kempelen","Zimmermann",""
1781-05-12,"Kth","French","Le Maréchal ferrant","Opéra comique","Quétant","Philidor",""
1781-05-12,"Kth","French","Elle a raison","Comédie","unknown",NA,""
1781-05-13,"Bth","Court","Der Rauchfangkehrer","Singspiel","Auenbrugger","Salieri",""
1781-05-13,"Kth","French","L'Officieux","Comédie","Piédefer",NA,""
1781-05-13,"Kth","French","Nanette et Lucas","Opéra comique","Framery","d'Herbain",""
1781-05-14,"Bth","Court","Das Loch in der Thüre","Lustspiel","Stephanie d. J.",NA,""
1781-05-14,"Kth","French","Monsieur de St. Charles","Comédie","Gernevalde",NA,""
1781-05-14,"Kth","French","Silvain","Opéra comique","Marmontel","Grétry",""
1781-05-15,"Bth","Court","Der Oberamtmann und die Soldaten","Schauspiel","d'Herbois",NA,""
1781-05-16,"Bth","Court","Die Pilgrime von Mekka","Singspiel","Dancourt","Gluck",""
1781-05-16,"Kth","French","Turcaret","Comédie","Lesage",NA,""
1781-05-16,"Kth","French","Le Sorcier","Opéra comique","Poinsinet","Philidor",""
1781-05-17,"Bth","Court","Die Gefahren der Verführung","Schauspiel","Mercier",NA,""
1781-05-17,"Bth","Court","Wer wird sie kriegen","Lustspiel","Eckardt",NA,""
1781-05-17,"Kth","French","Le Cercle ou la Soirée à la mode","Comédie","Poinsinet",NA,""
1781-05-17,"Kth","French","Les Trois Frères rivaux","Comédie","La Font",NA,""
1781-05-17,"Kth","French","Les Deux Avares","Opéra comique","Falbaire de Quingey","Grétry",""
1781-05-18,"Bth","unknown","Die Brüder","Lustspiel","Romanus",NA,""
1781-05-18,"Kth",NA,"Concert, Monsieur Cervasi",NA,NA,NA,""
1781-05-19,"Bth","Court","Hamlet","Trauerspiel","Shakespeare",NA,""
1781-05-20,"Bth","Court","Der Bettelstudent","Lustspiel","Weidmann",NA,""
1781-05-20,"Bth","Court","Nacht und Ungefähr","Lustspiel","Capacelli",NA,""
1781-05-20,"Kth","French","Les Pêcheurs","Opéra comique","La Salle","Gossec",""
1781-05-20,"Kth","French","Les Fourberies de Scapin","Comédie","Molière",NA,""
1781-05-21,"Bth","Court","Henriette","Lustspiel","Großmann",NA,""
1781-05-22,"Bth","Court","Jenny, oder die Uneigennützigkeit","Drame","Marsollier",NA,""
1781-05-22,"Bth","Court","Die eingebildeten Philosophen","Singspiel","Bertati","Paisiello",""
1781-05-22,"Kth","French","L'Avocat Patelin","Comédie","Brueys",NA,""
1781-05-22,"Kth","French","Nanette et Lucas","Opéra comique","Framery","d'Herbain",""
1781-05-23,"Bth","Court","Athelstan","Trauerspiel","Brown",NA,""
1781-05-24,"Kth","French","Le Tartuffe","Comédie","Molière",NA,""
1781-05-24,"Kth","French","Le Tableau parlant","Opéra comique","Anseaume","Grétry",""
1781-05-24,"Bth","Court","Das Portrait","Lustspiel","Beauchamps",NA,""
1781-05-24,"Bth","Court","Die eingebildeten Philosophen","Singspiel","Bertati","Paisiello",""
1781-05-25,NA,NA,"Theaters closed",NA,NA,NA,""
1781-05-26,"Bth","Court","Der argwöhnische Ehemann","Lustspiel","Gotter",NA,""
1781-05-26,"Kth","French","Le Legataire universel","Comédie","Regnard",NA,""
