id,date,theater,company,title,genre,author,composer,notes
281,1781-06-11,Kth,unknown,"Concert, Floravante Agostinelli",NA,NA,NA,"""Musikalische Akademie z. V. v. Mrs. Agostinelli.""""Mrs."" is probably ""Monsieur,"" based on Schletter's apparent usage. There is a soprano Angela (Angelica) Agostinelli in Sartori in libretti from 1765 to 1767.""Agostinelli"" not in Gerber 1790 or Morrow. See Bernardini 1988, on the Venetian oboist/flutist Floravante Agostinelli (1741–1809). See his note 12. Alternate first names are ""Francesco Saverio"" and ""Florante"". He was employed by the Thurn und Taxis court for 32 years. Burney heard him in Ludwigsburg in 1772.Often referred to (Badley, Murray, Powell) as ""Florante"""
282,1781-06-12,Bth,Court,Edwin und Emma,Schauspiel,Schraembl,NA,NA
283,1781-06-12,Kth,French,Le Sorcier,Opéra comique,Poinsinet,Philidor,NA
284,1781-06-12,Kth,French,Le Mari retrouvé,Comédie,Dancourt,NA,NA
285,1781-06-13,Bth,Court,Die verfolgte Unbekannte,Singspiel,Petrosellini,Anfossi,NA
286,1781-06-14,NA,NA,Theaters closed (Corpus Christi),NA,NA,NA,NA
287,1781-06-15,NA,NA,Theaters closed,NA,NA,NA,NA
288,1781-06-16,Bth,Court,Die heimliche Heyrath,Lustspiel,Colman,NA,NA
289,1781-06-16,Kth,French,"Adelaide, oder die Antipathie gegen die Liebe",Opéra comique,Marmontel,Grétry,NA
290,1781-06-17,Bth,Court,Die heimliche Heyrath,Lustspiel,Colman,NA,NA
291,1781-06-17,Kth,French,La Fausse Magie,Comédie mêlée d'ariettes,Marmontel,Grétry,NA
292,1781-06-17,Kth,French,La Fausse Suivante,Comédie,Marivaux,NA,NA
293,1781-06-18,Bth,Court,Die verfolgte Unbekannte,Singspiel,Petrosellini,Anfossi,NA
294,1781-06-19,Bth,Court,König Lear,Trauerspiel,Shakespeare,NA,NA
295,1781-06-19,Kth,French,L'Ami de la maison,Comédie mêlée d'ariettes,Marmontel,Grétry,NA
296,1781-06-19,Kth,French,Les Trois Frères rivaux,Comédie,La Font,NA,NA
