id,date_id,theater,company,title,genre,author,composer,notes
43,2/3/1781,Kth,French,La Belle Cordonniere,Opéra comique,unknown,unknown,"""Babier [sic] de Seville O. [sic] 4. A. / La belle Cordoniere. O. / 2. A.""May be Les souliers mors-dorés, ou La cordonniere allemande (see work record)."
44,2/4/1781,Kth,Kinder,Die Näscherinn,Singspiel,Weiße,Kriner,"""Die kleine Näscherinn. L. / 1. A. die Horazier. B.""Probably = to ""Die Näscherinn""?"
45,2/4/1781,Kth,Kinder,Die Horazier,Ballet,Vogt,unknown,NA
46,2/4/1781,Bth,Court,Wahrheit ist gut Ding,Lustspiel,Goldoni,NA,NA
NA,NA,NA,NA,NA,NA,Schletter,NA,NA
47,2/5/1781,Bth,Court,Die junge Indianerinn,Lustspiel,Chamfort,NA,Earliest Viennese performance in Hadamowsky on 5 Apr 1769 in the Kärntnertortheater.
48,2/5/1781,Bth,Court,Was erhält die Männer treu?,Singspiel,Zehnmark,Ruprecht,NA
49,2/5/1781,Kth,French,L'Ami de la maison,Comédie mêlée d'ariettes,Marmontel,Grétry,NA
50,2/5/1781,Kth,French,No title,Ballet,unknown,unknown,NA
51,2/6/1781,Bth,Court,Die Holländer,Lustspiel,Goldoni,NA,NA
NA,NA,NA,NA,NA,NA,Bock,NA,NA
52,2/6/1781,Kth,Kinder,Die natürliche Zauberey,Lustspiel,Weiße,NA,NA
53,2/6/1781,Kth,Kinder,Die Horazier,Ballet,Vogt,unknown,NA
54,2/7/1781,Bth,Court,Erwine von Steinheim,Trauerspiel,Blumauer,NA,"""Ermine [sic] v. Steinheim / Tr. im 5. A. v. Blum= / auer."""
55,2/7/1781,Kth,French,La Fausse Magie,Comédie mêlée d'ariettes,Marmontel,Grétry,Hadamowsky has a production by the court theater premiering on 27 Jun 1809.
56,2/7/1781,Kth,French,No title,Ballet,unknown,unknown,NA
57,2/8/1781,Bth,Court,Bekir und Gulroui,Lustspiel,Cardonne,NA,NA
NA,NA,NA,NA,NA,NA,Ratschky,NA,NA
58,2/8/1781,Bth,Court,Der eifersüchtige Liebhaber,Singspiel,Hales,Grétry,NA
NA,NA,NA,NA,NA,NA,Stephanie d. J.,NA,NA
59,2/8/1781,Kth,Kinder,Die Näscherinn,Singspiel,Weiße,Kriner,NA
